LOCATION,TIME,Value
KOR,2020 Q1,-1.261506728
KOR,2020 Q1,-3.150738208
KOR,2020 Q1,2.233424391
KOR,2020 Q1,1.142221229
KOR,2020 Q1,1.740407308
KOR,2020 Q1,0.770711605
KOR,2020 Q1,0.311163633
AUS,2020 Q1,-0.293663366
AUS,2020 Q1,-6.792819309
AUS,2020 Q1,3.416049809
AUS,2020 Q1,3.268596012
AUS,2020 Q1,1.820594162
AUS,2020 Q1,0.703263543
AUS,2020 Q1,-1.922074081
ISL,2020 Q1,-4.817725092
ISL,2020 Q1,-7.746170959
ISL,2020 Q1,2.38561419
ISL,2020 Q1,5.192984196
ISL,2020 Q1,-3.169453454
ISL,2020 Q1,4.164506597
ISL,2020 Q1,-2.294430396
GBR,2020 Q1,-2.637367304
GBR,2020 Q1,-19.449477922
GBR,2020 Q1,17.57247971
GBR,2020 Q1,1.50247662
GBR,2020 Q1,-1.263182972
GBR,2020 Q1,5.431991437
GBR,2020 Q1,1.061229086
EST,2020 Q1,-1.176268083
EST,2020 Q1,-5.996577656
EST,2020 Q1,3.691732017
EST,2020 Q1,2.503079097
EST,2020 Q1,3.420953579
EST,2020 Q1,2.298989468
EST,2020 Q1,0.656666247
DNK,2020 Q1,-0.735285193
DNK,2020 Q1,-6.2770224
DNK,2020 Q1,5.985718174
DNK,2020 Q1,0.885010722
DNK,2020 Q1,-0.39883737
DNK,2020 Q1,2.201475428
DNK,2020 Q1,0.852936225
ESP,2020 Q1,-5.391222646
ESP,2020 Q1,-17.652092761
ESP,2020 Q1,16.798457005
ESP,2020 Q1,0.222620107
ESP,2020 Q1,-0.632035043
ESP,2020 Q1,1.057395704
ESP,2020 Q1,2.012260564
JPN,2020 Q1,0.306256053
JPN,2020 Q1,-8.047666771
JPN,2020 Q1,5.108688104
JPN,2020 Q1,2.309878022
JPN,2020 Q1,-0.723071716
JPN,2020 Q1,0.489427817
JPN,2020 Q1,-0.902682323
NOR,2020 Q1,-1.275094684
NOR,2020 Q1,-4.65964153
NOR,2020 Q1,4.512725081
NOR,2020 Q1,0.561372744
NOR,2020 Q1,-0.17169704
NOR,2020 Q1,0.950436867
NOR,2020 Q1,3.809324154
HUN,2020 Q1,-0.477071637
HUN,2020 Q1,-14.42966185
HUN,2020 Q1,11.357065945
HUN,2020 Q1,1.818575188
HUN,2020 Q1,1.507486977
HUN,2020 Q1,1.95422007
HUN,2020 Q1,0.666547177
CAN,2020 Q1,-2.157302609
CAN,2020 Q1,-11.042537245
CAN,2020 Q1,8.983958377
CAN,2020 Q1,2.192421261
CAN,2020 Q1,1.204702201
CAN,2020 Q1,-0.798903494
CAN,2020 Q1,1.335114906
SVN,2020 Q1,-4.649634927
SVN,2020 Q1,-9.440727033
SVN,2020 Q1,11.892216732
SVN,2020 Q1,-0.165896491
SVN,2020 Q1,1.530003644
SVN,2020 Q1,2.015757126
SVN,2020 Q1,1.324025237
FIN,2020 Q1,-0.371280657
FIN,2020 Q1,-6.400027994
FIN,2020 Q1,4.74971027
FIN,2020 Q1,0.7708917
FIN,2020 Q1,0.285102088
FIN,2020 Q1,2.037717192
FIN,2020 Q1,0.79431004
NLD,2020 Q1,-1.643390807
NLD,2020 Q1,-8.375905344
NLD,2020 Q1,7.505689788
NLD,2020 Q1,2.74621e-4
NLD,2020 Q1,-0.776676402
NLD,2020 Q1,3.757366824
NLD,2020 Q1,1.949334679
