date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,government_response_index,stringency_index,containment_health_index,economic_support_index,administrative_area_level,administrative_area_level_1,population
2020-01-22,NA,NA,NA,NA,NA,NA,0,0,0,0,1,Denmark,5793636
2020-01-23,NA,NA,NA,NA,NA,NA,0,0,0,0,1,Denmark,5793636
2020-01-24,NA,NA,NA,NA,NA,NA,0,0,0,0,1,Denmark,5793636
2020-01-25,NA,NA,NA,NA,NA,NA,0,0,0,0,1,Denmark,5793636
2020-01-26,NA,NA,NA,NA,NA,NA,0,0,0,0,1,Denmark,5793636
2020-01-27,NA,NA,NA,NA,NA,NA,0,0,0,0,1,Denmark,5793636
2020-01-28,NA,NA,NA,NA,NA,NA,0,0,0,0,1,Denmark,5793636
2020-01-29,NA,NA,NA,NA,NA,NA,0,0,0,0,1,Denmark,5793636
2020-01-30,NA,NA,NA,NA,NA,NA,0,0,0,0,1,Denmark,5793636
2020-01-31,NA,NA,NA,NA,NA,NA,0,0,0,0,1,Denmark,5793636
2020-02-01,NA,NA,NA,NA,NA,NA,0,0,0,0,1,Denmark,5793636
2020-02-02,NA,NA,NA,1,NA,NA,0,0,0,0,1,Denmark,5793636
2020-02-03,NA,NA,NA,NA,NA,NA,0,0,0,0,1,Denmark,5793636
2020-02-04,NA,NA,NA,NA,NA,NA,0,0,0,0,1,Denmark,5793636
2020-02-05,NA,NA,NA,NA,NA,NA,0,0,0,0,1,Denmark,5793636
2020-02-06,NA,NA,NA,NA,NA,NA,0,0,0,0,1,Denmark,5793636
2020-02-07,NA,NA,NA,NA,NA,NA,0,0,0,0,1,Denmark,5793636
2020-02-08,NA,NA,NA,NA,NA,NA,0,0,0,0,1,Denmark,5793636
2020-02-09,NA,NA,NA,NA,NA,NA,0,0,0,0,1,Denmark,5793636
2020-02-10,NA,NA,NA,NA,NA,NA,0,0,0,0,1,Denmark,5793636
2020-02-11,NA,NA,NA,NA,NA,NA,0,0,0,0,1,Denmark,5793636
2020-02-12,NA,NA,NA,NA,NA,NA,0,0,0,0,1,Denmark,5793636
2020-02-13,NA,NA,NA,2,NA,NA,0,0,0,0,1,Denmark,5793636
2020-02-14,NA,NA,NA,NA,NA,NA,0,0,0,0,1,Denmark,5793636
2020-02-15,NA,NA,NA,NA,NA,NA,0,0,0,0,1,Denmark,5793636
2020-02-16,NA,NA,NA,NA,NA,NA,0,0,0,0,1,Denmark,5793636
2020-02-17,NA,NA,NA,3,NA,NA,0,0,0,0,1,Denmark,5793636
2020-02-18,NA,NA,NA,5,NA,NA,0,0,0,0,1,Denmark,5793636
2020-02-19,NA,NA,NA,7,NA,NA,0,0,0,0,1,Denmark,5793636
2020-02-20,NA,NA,NA,8,NA,NA,0,0,0,0,1,Denmark,5793636
2020-02-21,NA,NA,NA,NA,NA,NA,0,0,0,0,1,Denmark,5793636
2020-02-22,NA,NA,NA,9,NA,NA,0,0,0,0,1,Denmark,5793636
2020-02-23,NA,NA,NA,NA,NA,NA,0,0,0,0,1,Denmark,5793636
2020-02-24,NA,NA,NA,NA,NA,NA,0,0,0,0,1,Denmark,5793636
2020-02-25,NA,NA,NA,19,NA,NA,0,0,0,0,1,Denmark,5793636
2020-02-26,NA,NA,NA,49,NA,NA,0,0,0,0,1,Denmark,5793636
2020-02-27,1,NA,NA,158,NA,NA,9.38,11.11,10.71,0,1,Denmark,5793636
2020-02-28,1,NA,NA,220,NA,NA,9.38,11.11,10.71,0,1,Denmark,5793636
2020-02-29,3,NA,NA,294,NA,NA,9.38,11.11,10.71,0,1,Denmark,5793636
2020-03-01,4,NA,NA,343,NA,NA,9.38,11.11,10.71,0,1,Denmark,5793636
2020-03-02,4,NA,NA,423,NA,NA,9.38,11.11,10.71,0,1,Denmark,5793636
2020-03-03,6,NA,NA,486,NA,NA,14.58,20.37,16.67,0,1,Denmark,5793636
2020-03-04,10,NA,NA,574,NA,NA,14.58,20.37,16.67,0,1,Denmark,5793636
2020-03-05,10,NA,NA,683,NA,NA,14.58,20.37,16.67,0,1,Denmark,5793636
2020-03-06,23,NA,1,810,NA,NA,17.71,25.93,20.24,0,1,Denmark,5793636
2020-03-07,23,NA,NA,918,NA,NA,17.71,25.93,20.24,0,1,Denmark,5793636
